Country ;Region ;Area;Dealership;Year;Period;HC;Sick Leave Hours;Care Leave Hours;Doctor Appointment Hours;Instances;Date
Land 1;CEE;EH;Dealer 1;2025;H1;169;3190;100,8;;70;30.06.2025
Land 1;CEE;EH;Dealer 2;2025;H1;104;3200;211,2;;73,2;30.06.2025
Land 1;CEE;EH;Dealer 3;2025;H1;78;3079,2;300;;87,6;30.06.2025
Land 1;CEE;EH;Dealer 4;2025;H1;41;275;141,6;;14,4;30.06.2025
Land 1;CEE;EH;Dealer 5;2025;H1;71;2112;19,2;;30;30.06.2025
Land 1;CEE;EH;Dealer 6;2025;H1;23;883,2;273,6;;24;30.06.2025
Land 1;CEE;EH;Dealer 7;2025;H1;66;1680;270;;58,8;30.06.2025
Land 1;CEE;EH;Dealer 1;2025;H2;171;3189,6;100,8;;80;31.12.2025
Land 1;CEE;EH;Dealer 2;2025;H2;104;3240;211,2;;73,2;31.12.2025
Land 1;CEE;EH;Dealer 3;2025;H2;80;3079,2;350;;87,6;31.12.2025
Land 1;CEE;EH;Dealer 4;2025;H2;35;268,8;141,6;;14,4;31.12.2025
Land 1;CEE;EH;Dealer 5;2025;H2;71;2200;19,2;;45;31.12.2025
Land 1;CEE;EH;Dealer 6;2025;H2;20;883,2;273,6;;24;31.12.2025
Land 1;CEE;EH;Dealer 7;2025;H2;70;1700;268,8;;58,8;31.12.2025
Land 1;CEE;EH;Dealer 1;2026;H1;169;3189,6;150;;75,6;30.06.2026
Land 1;CEE;EH;Dealer 2;2026;H1;100;3259;211,2;;96;30.06.2026
Land 1;CEE;EH;Dealer 4;2026;H1;40;268,8;141,6;;14,4;30.06.2026
Land 1;CEE;EH;Dealer 5;2026;H1;65;2112;15;;34,8;30.06.2026
Land 1;CEE;EH;Dealer 6;2026;H1;23;900;273,6;;20;30.06.2026
Land 1;CEE;EH;Dealer 7;2026;H1;50;1680;150;;60;30.06.2026
